timestamp   actual_x   actual_y     actual_t    x_estimate    y_estimate   t_estimate   x_mes  y_mes  t_mes 
0.05 1.41966 0.79406 1.03497 1.4362 0.810784 1.10005 1.43139 0.979667 1.12435 0.203869
0.05 1.42552 0.806569 1.04518 1.41673 0.835327 1.13636 1.17997 0.947102 1.19122 0.203544
0.051 1.43406 0.825462 1.06049 1.43331 0.846553 1.13751 1.50348 0.776813 1.10759 0.203544
0.049 1.44094 0.841323 1.07305 1.44456 0.858667 1.10759 1.47042 0.830665 1.01096 0.203017
0.05 1.44763 0.857305 1.0855 1.44014 0.873286 1.11142 1.32259 0.865762 1.08907 0.203017
0.05 1.45289 0.870138 1.09553 1.43612 0.901377 1.13274 1.34338 1.0483 1.15674 0.191613
0.05 1.46047 0.889388 1.11075 1.44537 0.918676 1.12254 1.44275 0.908435 1.06631 0.193856
0.052 1.46658 0.905544 1.12342 1.45837 0.935221 1.14097 1.51223 0.943898 1.15531 0.203748
0.048 1.47252 0.921837 1.13593 1.46269 0.951696 1.09822 1.41964 0.965726 0.970158 0.203951
0.05 1.47709 0.934924 1.1462 1.47046 0.968705 1.09599 1.48125 1.01463 1.0672 0.206102
0.05 1.48369 0.954612 1.16146 1.48505 0.988339 1.14277 1.54213 0.99512 1.21594 0.206102
0.05 1.48892 0.971077 1.1742 1.49766 1.00988 1.21856 1.56734 1.05669 1.36592 0.192852
0.05 1.49394 0.987514 1.18686 1.51705 1.01811 1.19466 1.63375 0.947975 1.1138 0.205934
0.05 1.4988 1.00408 1.19948 1.5061 1.02432 1.23061 1.34891 0.927467 1.28142 0.205934
0.05 1.50254 1.01737 1.20936 1.51104 1.04746 1.24081 1.51465 1.14367 1.24167 0.193125
0.05 1.50786 1.03738 1.22474 1.51489 1.06675 1.25563 1.48791 1.06373 1.25619 0.193455
0.05 1.51121 1.05067 1.23509 1.52885 1.07765 1.23596 1.61263 1.06052 1.16953 0.205054
0.05 1.5161 1.07091 1.2501 1.55337 1.10053 1.27204 1.72682 1.1293 1.32318 0.205054
0.051 1.51988 1.08778 1.26283 1.54945 1.10868 1.31751 1.4741 1.0255 1.39379 0.190135
0.049 1.52344 1.10469 1.27535 1.55128 1.11815 1.29549 1.5174 1.05229 1.21778 0.190107
0.05 1.52682 1.12159 1.2879 1.54509 1.13609 1.27878 1.43388 1.15119 1.21097 0.191349
0.05 1.52999 1.13856 1.30048 1.53363 1.14689 1.28856 1.37766 1.09222 1.281 0.190801
0.05 1.53299 1.15568 1.31299 1.53687 1.14973 1.3238 1.52833 1.01599 1.37802 0.191088
0.05 1.5363 1.17625 1.32795 1.54829 1.18655 1.32705 1.60471 1.34576 1.30036 0.201114
0.05 1.5383 1.18991 1.33815 1.55471 1.20744 1.31731 1.57835 1.28014 1.27238 0.20033
0.05 1.54063 1.20705 1.3506 1.55204 1.2288 1.30419 1.47842 1.27457 1.24384 0.20033
0.05 1.54275 1.22419 1.36306 1.5585 1.22939 1.29722 1.57083 1.0781 1.25548 0.190005
0.05 1.54462 1.24142 1.37546 1.5683 1.25051 1.35443 1.62989 1.28909 1.45789 0.202045
0.05 1.54629 1.25859 1.38822 1.57103 1.25849 1.36142 1.55997 1.17462 1.34904 0.202045
0.05 1.54777 1.2757 1.4006 1.55156 1.27699 1.35669 1.32879 1.29392 1.31282 0.1999
0.05 1.54876 1.28951 1.41059 1.53808 1.29584 1.39229 1.39014 1.34461 1.44802 0.1999
0.051 1.55008 1.31024 1.42513 1.54155 1.31986 1.38784 1.5335 1.3551 1.34283 0.201988
0.049 1.55092 1.32756 1.43752 1.52568 1.33481 1.41144 1.34931 1.31389 1.43312 0.201113
0.05 1.55155 1.34482 1.44982 1.53372 1.34311 1.4468 1.59055 1.25862 1.50094 0.201113
0.051 1.55203 1.36212 1.46186 1.53156 1.35083 1.4067 1.47482 1.26346 1.28522 0.201431
0.049 1.55224 1.37943 1.47423 1.53161 1.37273 1.44232 1.51252 1.4174 1.49499 0.199814
0.05 1.55225 1.39327 1.48404 1.51247 1.38235 1.44759 1.31352 1.34332 1.43308 0.199829
0.05 1.55197 1.41408 1.49931 1.50046 1.42751 1.49223 1.37225 1.65908 1.55594 0.204757
0.05 1.55142 1.43483 1.51416 1.50822 1.44568 1.50213 1.5644 1.422 1.49132 0.204757
0.05 1.55087 1.44871 1.52407 1.50493 1.45552 1.48432 1.45656 1.41797 1.42113 0.18762
0.05 1.55 1.46595 1.53648 1.5018 1.46639 1.47829 1.4528 1.40677 1.43675 0.189292
0.05 1.54887 1.48318 1.54917 1.51041 1.49503 1.50605 1.58158 1.60346 1.54414 0.189753
0.05 1.54755 1.50039 1.56167 1.49421 1.51489 1.53668 1.33644 1.53939 1.57675 0.188502
0.05 1.54603 1.51762 1.57415 1.4994 1.53707 1.58551 1.55408 1.5829 1.67005 0.200729
0.05 1.5443 1.53474 1.58638 1.50836 1.56202 1.55066 1.581 1.6362 1.44394 0.200729
0.05 1.54235 1.5519 1.5989 1.51217 1.58201 1.58254 1.55087 1.60781 1.62804 0.20048
0.05 1.5402 1.56902 1.61128 1.51645 1.61329 1.61585 1.56528 1.74657 1.66484 0.20048
0.05 1.53782 1.58616 1.62354 1.50797 1.63058 1.62271 1.43374 1.63065 1.61015 0.187904
0.05 1.5352 1.60332 1.63583 1.5217 1.63733 1.64455 1.66269 1.53672 1.66898 0.201346
0.05 1.53243 1.62041 1.64821 1.50897 1.65705 1.66826 1.40422 1.68053 1.69169 0.201346
0.051 1.52941 1.63742 1.66066 1.52146 1.66208 1.7041 1.66255 1.54679 1.76082 0.200087
0.049 1.52623 1.65437 1.67294 1.53016 1.67581 1.66762 1.61906 1.64249 1.55755 0.200087
0.05 1.5228 1.67129 1.68543 1.53901 1.70047 1.69518 1.64288 1.77205 1.73206 0.202725
0.05 1.51914 1.68819 1.69791 1.53529 1.72053 1.6936 1.51613 1.74763 1.66082 0.202725
0.05 1.51448 1.70839 1.71302 1.52205 1.73212 1.71807 1.42406 1.64703 1.73698 0.2035
0.05 1.51117 1.72179 1.7232 1.52001 1.7464 1.69085 1.50893 1.75102 1.60565 0.199189
0.05 1.50603 1.74191 1.7381 1.51554 1.7591 1.68899 1.49142 1.68313 1.64944 0.202425
0.05 1.5024 1.75524 1.74809 1.51513 1.78871 1.73009 1.53571 1.94091 1.80214 0.202379
0.05 1.49767 1.77192 1.76083 1.50635 1.81582 1.76335 1.45545 1.91173 1.80997 0.202379
0.05 1.49277 1.78849 1.77335 1.499 1.83775 1.73607 1.44904 1.8833 1.64557 0.191065
0.05 1.48761 1.80497 1.78632 1.48973 1.84967 1.78054 1.43866 1.80255 1.85227 0.203986
0.051 1.48228 1.82134 1.7989 1.51193 1.87769 1.79192 1.75507 1.98386 1.79482 0.203986
0.049 1.47558 1.84095 1.81433 1.50889 1.87706 1.82524 1.52904 1.67992 1.86633 0.204752
0.05 1.47093 1.85394 1.82443 1.50914 1.88824 1.84863 1.54824 1.8683 1.88003 0.202271
0.05 1.46497 1.87016 1.83713 1.50049 1.89731 1.84622 1.45928 1.82443 1.81048 0.20421
0.05 1.46003 1.88306 1.84717 1.48497 1.90872 1.83634 1.36839 1.88963 1.78814 0.20421
0.05 1.45233 1.90236 1.86256 1.47914 1.95126 1.84433 1.47333 2.16466 1.83082 0.193263
0.05 1.44706 1.91518 1.87239 1.46521 1.9613 1.89331 1.38001 1.93292 1.98183 0.192576
0.05 1.43894 1.93426 1.88749 1.45058 1.97465 1.89507 1.37034 1.91348 1.86164 0.207273
0.05 1.43053 1.9532 1.9029 1.43649 1.98954 1.91161 1.3662 1.94461 1.91254 0.205807
0.05 1.42476 1.96572 1.91304 1.42069 1.99949 1.94484 1.32174 1.97292 1.99598 0.201428
0.05 1.41888 1.97825 1.923 1.41225 2.0052 1.9366 1.37544 1.93532 1.89308 0.206271
0.05 1.40979 1.99691 1.93825 1.39517 2.03042 1.92925 1.2971 2.08374 1.87556 0.206271
0.05 1.40205 2.01234 1.95107 1.38538 2.0469 1.98709 1.36347 2.05476 2.09178 0.194091
0.05 1.39411 2.02754 1.96398 1.39966 2.06409 1.98385 1.59586 2.0763 1.95333 0.193613
0.052 1.38429 2.04576 1.97933 1.40889 2.06365 1.99655 1.57422 1.87867 1.99279 0.204846
0.048 1.3776 2.05782 1.98963 1.40453 2.06248 1.9993 1.41544 1.93111 1.98147 0.205312
0.05 1.36909 2.07283 2.00218 1.40811 2.0872 2.00653 1.50796 2.17201 1.99671 0.205312
0.05 1.36033 2.08768 2.01496 1.39382 2.10542 2.03999 1.33347 2.13287 2.0882 0.194707
